PersonID,Sex,Income,Discount,Y
24,1,101.1,1,0
24,1,101.1,0,0
24,1,101.1,1,1
24,1,101.1,0,0
24,1,101.1,0,0
24,1,101.1,0,1
24,1,101.1,0,0
24,1,101.1,0,0
24,1,101.1,0,0
24,1,101.1,0,1
24,1,101.1,0,1
25,1,53.2,0,0
25,1,53.2,1,1
25,1,53.2,0,0
25,1,53.2,0,1
25,1,53.2,0,1
25,1,53.2,0,1
25,1,53.2,0,1
25,1,53.2,1,0
25,1,53.2,0,0
26,1,105.5,0,0
26,1,105.5,1,1
26,1,105.5,1,1
26,1,105.5,0,0
26,1,105.5,0,0
27,1,77.5,1,1
27,1,77.5,0,1
27,1,77.5,0,1
27,1,77.5,0,1
27,1,77.5,0,1
27,1,77.5,1,1
27,1,77.5,0,1
28,1,63.7,0,1
28,1,63.7,0,1
28,1,63.7,1,1
28,1,63.7,0,1
28,1,63.7,0,1
28,1,63.7,0,0
28,1,63.7,0,1
28,1,63.7,0,0
28,1,63.7,0,1
28,1,63.7,1,1
29,0,66.5,1,0
29,0,66.5,0,0
29,0,66.5,0,0
29,0,66.5,0,0
29,0,66.5,1,0
30,0,71.4,0,1
30,0,71.4,0,0
30,0,71.4,0,0
30,0,71.4,0,0
30,0,71.4,0,0
30,0,71.4,0,1
30,0,71.4,1,1
30,0,71.4,1,1
31,1,44.9,1,0
31,1,44.9,0,0
31,1,44.9,0,0
31,1,44.9,1,0
31,1,44.9,0,0
32,1,50,0,1
32,1,50,0,0
32,1,50,0,1
32,1,50,1,1
32,1,50,0,0
32,1,50,1,0
32,1,50,0,0
32,1,50,0,1
32,1,50,0,0
32,1,50,0,0
33,1,69.1,0,1
33,1,69.1,0,1
33,1,69.1,0,0
33,1,69.1,0,0
33,1,69.1,0,1
33,1,69.1,0,0
33,1,69.1,1,1
33,1,69.1,0,0
33,1,69.1,0,0
33,1,69.1,1,1
33,1,69.1,0,1
33,1,69.1,0,0
33,1,69.1,0,1
33,1,69.1,0,1
34,1,73.4,0,0
34,1,73.4,1,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,1,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,0,0
34,1,73.4,0,0
35,0,61.6,0,0
35,0,61.6,0,0
35,0,61.6,1,0
35,0,61.6,0,0
35,0,61.6,0,1
35,0,61.6,0,0
35,0,61.6,1,0
35,0,61.6,0,0
35,0,61.6,0,0
36,0,87.7,0,0
36,0,87.7,1,1
36,0,87.7,0,0
36,0,87.7,0,1
36,0,87.7,0,1
36,0,87.7,1,1
36,0,87.7,0,1
37,1,45.3,0,0
37,1,45.3,1,0
37,1,45.3,1,1
37,1,45.3,0,0
37,1,45.3,0,0
38,0,90.2,0,1
38,0,90.2,1,1
38,0,90.2,0,0
38,0,90.2,0,0
38,0,90.2,1,1
38,0,90.2,0,1
39,0,38.7,0,0
39,0,38.7,0,0
39,0,38.7,0,0
39,0,38.7,1,0
39,0,38.7,1,0
39,0,38.7,0,0
39,0,38.7,0,0
39,0,38.7,0,0
39,0,38.7,0,0
39,0,38.7,0,0
40,0,39.4,1,1
40,0,39.4,0,0
40,0,39.4,0,1
40,0,39.4,0,0
40,0,39.4,0,0
40,0,39.4,0,0
40,0,39.4,1,1
40,0,39.4,0,0
40,0,39.4,0,0
40,0,39.4,0,0
40,0,39.4,0,1
40,0,39.4,0,1
40,0,39.4,0,0
41,0,90.8,0,0
41,0,90.8,0,0
41,0,90.8,0,0
41,0,90.8,1,1
41,0,90.8,1,1
41,0,90.8,0,0
41,0,90.8,0,0
42,0,51.5,0,1
42,0,51.5,0,0
42,0,51.5,1,1
42,0,51.5,0,0
42,0,51.5,0,0
42,0,51.5,1,1
42,0,51.5,0,0
43,0,65.4,0,0
43,0,65.4,1,0
43,0,65.4,0,0
43,0,65.4,0,0
43,0,65.4,1,0
43,0,65.4,0,0
43,0,65.4,0,0
44,0,55.8,1,0
44,0,55.8,1,0
44,0,55.8,0,0
44,0,55.8,0,0
45,0,60.2,0,0
45,0,60.2,0,0
45,0,60.2,0,1
45,0,60.2,0,0
45,0,60.2,1,1
45,0,60.2,1,0
46,0,71.6,0,0
46,0,71.6,1,1
46,0,71.6,0,0
46,0,71.6,1,1
46,0,71.6,0,0
46,0,71.6,0,1
47,0,48.9,0,0
47,0,48.9,1,1
47,0,48.9,0,0
47,0,48.9,0,1
47,0,48.9,0,0
47,0,48.9,1,1
48,0,79.3,1,0
48,0,79.3,0,0
48,0,79.3,0,0
48,0,79.3,0,0
48,0,79.3,0,0
48,0,79.3,1,1
48,0,79.3,0,0
48,0,79.3,0,0
48,0,79.3,0,0
49,0,53.4,1,1
49,0,53.4,0,0
49,0,53.4,1,1
49,0,53.4,0,0
49,0,53.4,0,0
50,1,70,0,1
50,1,70,1,1
50,1,70,0,1
50,1,70,1,1
50,1,70,0,1
50,1,70,0,0
50,1,70,0,1
50,1,70,0,1
50,1,70,0,0
50,1,70,0,1
50,1,70,0,1
50,1,70,0,1
