X,Y
0.11,1.45
0.11,1.28
0.11,1.46
0.11,1.08
0.11,1.23
0.11,1.38
0.11,1.26
0.11,1.25
0.11,1.43
0.11,1.31
0.11,1.33
0.11,1.54
0.11,1.52
0.11,1.38
0.11,1.28
0.12,1.46
0.12,1.51
0.12,1.51
0.12,1.48
0.12,1.38
0.12,1.42
0.12,1.44
0.12,1.46
0.12,1.3
0.12,1.34
0.12,1.33
0.12,1.49
0.12,1.29
0.12,1.32
0.12,1.31
0.12,1.51
0.12,1.49
0.12,1.47
0.12,1.3
0.12,1.39
0.12,1.35
0.12,1.32
0.13,1.44
0.13,1.18
0.13,1.28
0.13,1.29
0.13,1.24
0.13,1.4
0.13,1.31
0.13,1.33
0.13,1.25
0.13,1.42
0.13,1.34
0.13,1.42
0.13,1.37
0.13,1.36
0.13,1.49
0.13,1.35
0.13,1.32
0.13,1.31
0.13,1.08
0.13,1.31
0.13,1.25
0.13,1.38
0.13,1.29
0.13,1.38
0.13,1.42
0.13,1.22
0.13,1.44
0.14,1.27
0.14,1.32
0.14,1.21
0.14,1.4
0.14,1.29
0.14,1.16
0.14,1.18
0.14,1.27
0.14,1.24
0.14,1.18
0.14,1.48
0.14,1.3
0.14,1.29
0.14,1.23
0.14,1.32
0.14,1.41
0.15,1.23
0.15,1.44
0.15,1.12
0.15,1.15
0.15,1.31
0.15,1.31
0.15,1.1
0.15,1.17
0.15,1.29
0.15,1.31
0.15,1.44
0.15,1.23
0.15,1.05
0.15,1.28
0.15,1.09
0.15,1.21
0.15,1.3
0.15,1.15
0.15,1.14
0.15,1.14
0.15,1.29
0.15,1.17
0.15,1.12
0.16,0.98
0.16,1.23
0.16,1.25
0.16,1.05
0.16,1.22
0.16,1.15
0.16,1.06
0.16,0.98
0.16,1.05
0.16,1.14
0.16,1.16
0.16,1.11
0.16,1.18
0.16,1.07
0.16,0.99
0.16,1.26
0.16,1.12
0.16,1
0.16,1.18
0.16,1.04
0.16,1.06
0.16,1.3
0.16,1.15
0.16,1.1
0.16,1.18
0.16,1.14
0.16,1.17
0.16,1.04
0.16,1.06
0.16,0.86
0.16,1.1
0.16,1.23
0.17,1.07
0.17,0.93
0.17,1.28
0.17,0.84
0.17,0.84
0.17,1.02
0.17,1.12
0.17,0.91
0.17,1.16
0.17,1.03
0.17,1.06
0.17,1.02
0.17,0.89
0.17,0.95
0.17,1.13
0.17,0.89
0.17,1.11
0.17,0.95
0.17,0.94
0.17,1.02
0.17,1.03
0.17,0.86
0.17,0.97
0.17,0.84
0.17,0.97
0.18,1.11
0.18,0.82
0.18,0.88
0.18,0.88
0.18,0.89
0.18,0.99
0.18,0.85
0.18,0.94
0.18,0.69
0.18,0.86
0.18,0.98
0.18,0.63
0.18,0.99
0.18,0.72
0.18,0.9
0.18,0.9
0.18,0.81
0.18,0.77
0.18,0.79
0.19,0.73
0.19,0.9
0.19,0.71
0.19,0.8
0.19,0.58
0.19,0.6
0.19,0.74
0.19,0.91
0.19,0.43
0.19,0.77
0.19,0.77
0.19,0.77
0.19,0.67
0.19,0.77
0.19,0.77
0.19,0.66
0.19,0.77
0.19,0.57
0.2,0.7
0.2,0.35
0.2,0.63
0.2,0.48
0.2,0.49
0.2,0.51
0.2,0.42
0.2,0.49
0.2,0.55
0.2,0.4
0.2,0.42
0.2,0.32
0.2,0.35
0.2,0.47
0.21,0.34
0.21,0.42
0.21,0.35
0.21,0.35
0.21,0.12
0.21,0.3
0.21,0.47
0.21,0.24
0.21,0.26
0.21,0.35
0.21,0.28
0.21,0.2
0.21,0.29
0.21,0.2
0.21,0.27
0.21,0.27
0.22,0.04
0.22,-0.06
0.22,0.16
0.22,0.22
0.22,0.34
0.22,0.13
0.22,0.22
0.22,0.13
0.22,0.18
0.22,0.34
0.22,0.07
0.22,-0.03
0.22,0.09
0.22,0.04
0.22,0.02
0.22,-0.01
0.22,-0.05
0.22,0.14
0.22,-0.06
0.23,0
0.23,-0.16
0.23,0.09
0.23,0.26
0.23,0.15
0.23,-0.12
0.23,-0.13
0.23,-0.1
0.23,0.03
0.23,-0.14
0.23,-0.03
0.23,-0.16
0.23,-0.12
0.23,-0.08
0.23,-0.14
0.23,-0.06
0.23,-0.14
0.24,-0.4
0.24,-0.14
0.24,-0.25
0.24,-0.16
0.24,-0.42
0.24,-0.34
0.24,-0.12
0.24,-0.21
0.24,-0.25
0.24,-0.37
0.24,-0.22
0.24,-0.26
0.24,-0.33
0.24,-0.55
0.24,-0.17
0.24,-0.14
0.24,-0.47
0.24,-0.37
0.24,-0.59
0.24,-0.46
0.24,-0.37
0.24,-0.17
0.25,-0.36
0.25,-0.38
0.25,-0.41
0.25,-0.53
0.25,-0.46
0.25,-0.53
0.25,-0.44
0.25,-0.69
0.25,-0.53
0.25,-0.71
0.25,-0.44
0.25,-0.61
0.25,-0.48
0.25,-0.6
0.25,-0.52
0.26,-0.42
0.26,-0.52
0.26,-0.81
0.26,-0.67
0.26,-0.58
0.26,-0.64
0.26,-0.75
0.26,-0.87
0.26,-0.57
0.26,-0.64
0.26,-0.81
0.26,-0.66
0.26,-0.61
0.26,-0.57
0.26,-0.76
0.26,-0.84
0.26,-0.85
0.26,-0.83
0.26,-0.83
0.26,-0.78
0.26,-0.83
0.26,-0.82
0.26,-0.95
0.26,-0.86
0.27,-0.73
0.27,-0.88
0.27,-1
0.27,-0.71
0.27,-0.87
0.27,-0.88
0.27,-0.85
0.27,-1.04
0.27,-1.07
0.27,-1.12
0.27,-1.08
0.27,-0.8
0.27,-0.79
0.27,-0.88
0.27,-1.06
0.27,-1.12
0.27,-1.15
0.27,-0.87
0.27,-1.02
0.27,-1.02
0.27,-1.19
0.27,-0.98
0.28,-0.96
0.28,-1.15
0.28,-1.3
0.28,-0.97
0.28,-1.17
0.28,-1.08
0.28,-1.18
0.28,-1.14
0.28,-1
0.28,-1.19
0.28,-1.03
0.28,-1.16
0.28,-1.24
0.28,-1.2
0.28,-1.21
0.28,-1.36
0.28,-0.87
0.28,-1.26
0.28,-1.28
0.29,-1.16
0.29,-1.25
0.29,-1.23
0.29,-1.46
0.29,-1.27
0.29,-1.24
0.29,-1.3
0.29,-1.38
0.29,-1.36
0.29,-1.22
0.29,-1.44
0.29,-1.14
0.29,-1.69
0.3,-1.49
0.3,-1.47
0.3,-1.46
0.3,-1.3
0.3,-1.23
0.3,-1.46
0.3,-1.34
0.3,-1.47
0.3,-1.45
0.3,-1.44
0.3,-1.56
0.3,-1.37
0.3,-1.71
0.3,-1.59
0.3,-1.43
0.31,-1.54
0.31,-1.53
0.31,-1.58
0.31,-1.59
0.31,-1.45
0.31,-1.45
0.31,-1.47
0.31,-1.39
0.31,-1.53
0.31,-1.55
0.31,-1.53
0.31,-1.5
0.31,-1.54
0.31,-1.5
0.31,-1.76
0.31,-1.58
0.31,-1.43
0.31,-1.69
0.31,-1.45
0.32,-1.61
0.32,-1.54
0.32,-1.76
0.32,-1.84
0.32,-1.57
0.32,-1.61
0.32,-1.82
0.32,-1.6
0.32,-1.69
0.32,-1.63
0.32,-1.83
0.32,-1.7
0.32,-1.81
0.32,-1.75
0.32,-1.66
0.32,-1.72
0.33,-1.86
0.33,-1.75
0.33,-1.64
0.33,-1.56
0.33,-1.64
0.33,-1.52
0.33,-1.91
0.33,-1.69
0.33,-1.72
0.33,-1.63
0.33,-1.71
0.33,-1.78
0.33,-1.76
0.33,-1.81
0.33,-1.85
0.33,-1.87
0.33,-1.93
0.33,-1.86
0.33,-1.69
0.33,-1.65
0.33,-1.78
0.33,-1.92
0.33,-1.86
0.33,-1.71
0.33,-1.83
0.34,-1.85
0.34,-1.8
0.34,-1.74
0.34,-1.85
0.34,-2.11
0.34,-1.81
0.34,-1.65
0.34,-1.73
0.34,-1.75
0.34,-1.87
0.34,-1.84
0.34,-1.88
0.34,-1.74
0.34,-1.8
0.34,-1.91
0.34,-1.78
0.34,-1.86
0.34,-1.71
0.34,-1.95
0.34,-1.76
0.34,-1.72
0.34,-1.82
0.34,-1.9
0.35,-2.08
0.35,-1.65
0.35,-1.87
0.35,-1.88
0.35,-1.92
0.35,-1.63
0.35,-1.98
0.35,-1.99
0.35,-1.93
0.35,-1.85
0.35,-1.65
0.35,-1.71
0.35,-1.84
0.35,-1.89
0.35,-1.83
0.35,-1.74
0.35,-1.83
0.35,-1.85
0.35,-1.82
0.35,-1.97
0.35,-1.82
0.35,-1.87
0.35,-1.75
0.35,-1.85
0.35,-1.87
0.36,-1.88
0.36,-2
0.36,-1.83
0.36,-1.73
0.36,-1.87
0.36,-1.66
0.36,-1.85
0.36,-2.04
0.36,-1.89
0.36,-1.83
0.36,-1.89
0.36,-1.87
0.36,-2.03
0.36,-1.81
0.36,-2.11
0.37,-1.72
0.37,-1.75
0.37,-1.75
0.37,-1.82
0.37,-1.66
0.37,-1.68
0.37,-1.83
0.37,-1.75
0.37,-1.83
0.37,-1.81
0.37,-1.84
0.37,-1.78
0.37,-2
0.37,-1.86
0.37,-1.78
0.37,-1.7
0.37,-1.85
0.37,-1.78
0.37,-1.6
0.37,-1.74
0.37,-1.75
0.37,-1.76
0.37,-1.84
0.37,-1.64
0.38,-1.81
0.38,-1.6
0.38,-1.93
0.38,-1.9
0.38,-1.63
0.38,-1.81
0.38,-1.78
0.38,-1.55
0.38,-1.81
0.38,-1.73
0.38,-2.02
0.38,-1.87
0.38,-1.85
0.38,-1.66
0.38,-1.8
0.38,-1.75
0.38,-1.57
0.38,-1.66
0.38,-1.81
0.38,-1.69
0.38,-1.94
0.38,-1.57
0.38,-1.72
0.38,-1.86
0.38,-1.61
0.38,-1.87
0.38,-1.64
0.38,-1.76
0.38,-1.83
0.38,-1.73
0.38,-1.85
0.38,-1.71
0.39,-1.92
0.39,-1.83
0.39,-1.56
0.39,-1.78
0.39,-1.73
0.39,-1.8
0.39,-1.71
0.39,-1.6
0.39,-1.77
0.39,-1.62
0.39,-1.72
0.39,-1.85
0.39,-1.77
0.39,-1.55
0.39,-1.5
0.39,-1.66
0.39,-1.75
0.39,-1.49
0.39,-1.55
0.4,-1.7
0.4,-1.44
0.4,-1.67
0.4,-1.49
0.4,-1.52
0.4,-1.71
0.4,-1.41
0.4,-1.43
0.4,-1.6
0.4,-1.56
0.4,-1.58
0.4,-1.51
0.4,-1.48
0.4,-1.6
0.4,-1.45
0.4,-1.45
0.4,-1.43
0.4,-1.61
0.4,-1.61
0.4,-1.62
0.4,-1.52
0.4,-1.64
0.4,-1.65
0.4,-1.57
0.41,-1.48
0.41,-1.49
0.41,-1.34
0.41,-1.51
0.41,-1.53
0.41,-1.43
0.41,-1.49
0.41,-1.5
0.41,-1.25
0.41,-1.39
0.41,-1.38
0.41,-1.3
0.41,-1.17
0.41,-1.35
0.41,-1.39
0.41,-1.25
0.41,-1.32
0.41,-1.41
0.41,-1.48
0.41,-1.48
0.41,-1.42
0.41,-1.48
0.41,-1.46
0.41,-1.21
0.42,-1.49
0.42,-1.35
0.42,-1.02
0.42,-1.21
0.42,-1.48
0.42,-1.27
0.42,-1.23
0.42,-1.21
0.42,-1.2
0.42,-1.23
0.42,-1.38
0.42,-1.2
0.42,-1.26
0.42,-1.27
0.42,-1.21
0.42,-1.45
0.42,-1.31
0.42,-1.17
0.42,-1.41
0.42,-1.18
0.42,-1.15
0.43,-1.2
0.43,-1.18
0.43,-1.21
0.43,-1.15
0.43,-0.94
0.43,-1.08
0.43,-1.09
0.43,-1.13
0.43,-1.09
0.43,-1.1
0.43,-0.97
0.43,-0.93
0.43,-1.01
0.43,-1.11
0.43,-0.93
0.43,-1.02
0.43,-0.87
0.43,-0.89
0.43,-0.87
0.43,-1.09
0.43,-0.86
0.44,-0.81
0.44,-0.96
0.44,-0.73
0.44,-0.89
0.44,-0.78
0.44,-1.19
0.44,-1
0.44,-0.97
0.44,-0.8
0.44,-0.86
0.44,-0.87
0.44,-0.9
0.44,-0.75
0.44,-1
0.44,-0.77
0.44,-0.86
0.44,-0.8
0.44,-0.92
0.44,-0.86
0.44,-0.68
0.44,-0.59
0.44,-0.7
0.45,-0.94
0.45,-0.67
0.45,-0.71
0.45,-0.73
0.45,-0.83
0.45,-0.58
0.45,-0.68
0.45,-0.64
0.45,-0.58
0.45,-0.63
0.45,-0.72
0.45,-0.74
0.45,-0.64
0.45,-0.6
0.45,-0.75
0.45,-0.69
0.45,-0.55
0.45,-0.68
0.45,-0.71
0.45,-0.36
0.46,-0.58
0.46,-0.49
0.46,-0.62
0.46,-0.3
0.46,-0.33
0.46,-0.42
0.46,-0.45
0.46,-0.56
0.46,-0.35
0.46,-0.51
0.46,-0.29
0.46,-0.11
0.46,-0.37
0.46,-0.27
0.46,-0.45
0.47,-0.15
0.47,-0.29
0.47,-0.25
0.47,-0.32
0.47,-0.26
0.47,-0.26
0.47,-0.28
0.47,-0.26
0.47,0.05
0.47,-0.23
0.47,-0.09
0.47,-0.14
0.47,-0.23
0.47,-0.2
0.47,-0.21
0.47,-0.01
0.47,-0.18
0.47,0.05
0.47,0.04
0.48,-0.02
0.48,-0.02
0.48,-0.08
0.48,-0.08
0.48,0.12
0.48,-0.02
0.48,-0.02
0.48,0.13
0.48,-0.28
0.48,-0.02
0.48,0.12
0.48,0.05
0.48,-0.12
0.48,-0.03
0.48,0.19
0.48,-0.07
0.48,0.14
0.48,0.18
0.48,0.02
0.48,0.22
0.48,0.3
0.48,0.09
0.48,0.06
0.48,0.06
0.49,0.38
0.49,0.28
0.49,-0.04
0.49,0.06
0.49,0.01
0.49,0.38
0.49,0.27
0.49,0.34
0.49,0.36
0.49,0.27
0.49,0.52
0.49,0.37
0.49,0.21
0.49,0.33
0.49,0.36
0.49,0.31
0.49,0.33
0.49,0.31
0.49,0.25
0.49,0.53
0.49,0.36
0.49,0.24
0.49,0.33
0.49,0.24
0.49,0.39
0.5,0.38
0.5,0.33
0.5,0.54
0.5,0.43
0.5,0.42
0.5,0.4
0.5,0.33
0.5,0.44
0.5,0.34
0.5,0.46
0.5,0.45
0.5,0.55
0.5,0.31
0.5,0.32
0.5,0.43
0.5,0.44
0.5,0.6
0.5,0.57
0.5,0.48
0.5,0.57
0.51,0.53
0.51,0.62
0.51,0.75
0.51,0.6
0.51,0.98
0.51,0.7
0.51,0.53
0.51,0.61
0.51,0.6
0.51,0.56
0.51,0.69
0.51,0.72
0.51,0.67
0.51,0.56
0.51,0.73
0.51,0.56
0.51,0.68
0.51,0.6
0.51,0.77
0.51,0.55
0.51,0.74
0.51,0.8
0.51,0.68
0.52,0.88
0.52,0.78
0.52,0.94
0.52,0.62
0.52,0.98
0.52,0.79
0.52,0.93
0.52,0.78
0.52,0.8
0.52,1.05
0.52,0.94
0.52,0.87
0.52,0.9
0.52,0.83
0.52,0.91
0.53,0.91
0.53,0.93
0.53,0.98
0.53,0.93
0.53,0.94
0.53,1.07
0.53,1.17
0.53,1.12
0.53,1.07
0.53,0.92
0.53,1.02
0.53,1.05
0.53,1.23
0.53,1.2
0.53,0.96
0.53,1.04
0.53,0.97
0.53,1.19
0.53,1.14
0.53,1.11
0.53,1.14
0.53,1.05
0.53,1.22
0.53,0.96
0.53,0.96
0.54,1.26
0.54,1.2
0.54,1.04
0.54,1.13
0.54,1.13
0.54,1.39
0.54,1.19
0.54,1.32
0.54,1.17
0.54,1.02
0.54,1.32
0.54,1.34
0.54,1.23
0.55,1.42
0.55,1.22
0.55,1.26
0.55,1.27
0.55,1.14
0.55,1.15
0.55,1.56
0.55,1.32
0.55,1.27
0.55,1.3
0.55,1.46
0.55,1.45
0.55,1.47
0.55,1.47
0.55,1.43
0.56,1.3
0.56,1.31
0.56,1.1
0.56,1.46
0.56,1.39
0.56,1.41
0.56,1.36
0.56,1.42
0.56,1.32
0.56,1.49
0.56,1.51
0.56,1.43
0.56,1.42
0.56,1.55
0.56,1.44
0.56,1.35
0.57,1.56
0.57,1.61
0.57,1.51
0.57,1.68
0.57,1.47
0.57,1.27
0.57,1.59
0.57,1.73
0.57,1.5
0.57,1.45
0.57,1.48
0.57,1.57
0.57,1.53
0.57,1.43
0.57,1.44
0.57,1.61
0.57,1.47
0.57,1.58
0.57,1.5
0.57,1.7
0.58,1.66
0.58,1.63
0.58,1.58
0.58,1.63
0.58,1.8
0.58,1.43
0.58,1.38
0.58,1.65
0.58,1.45
0.58,1.58
0.58,1.59
0.58,1.55
0.58,1.53
0.58,1.6
0.59,1.52
0.59,1.76
0.59,1.59
0.59,1.53
0.59,1.44
0.59,1.61
0.59,1.51
0.59,1.67
0.59,1.57
0.59,1.6
0.59,1.52
0.59,1.6
0.59,1.42
0.59,1.53
0.59,1.59
0.59,1.59
0.6,1.79
0.6,1.55
0.6,1.67
0.6,1.67
0.6,1.65
0.6,1.62
0.6,1.71
0.6,1.81
0.6,1.66
0.6,1.56
0.6,1.57
0.6,1.47
0.6,1.63
0.6,1.61
0.6,1.72
0.6,1.66
0.6,1.66
0.6,1.66
0.6,1.63
0.6,1.72
0.61,1.49
0.61,1.46
0.61,1.6
0.61,1.59
0.61,1.62
0.61,1.67
0.61,1.42
0.61,1.47
0.61,1.58
0.61,1.64
0.61,1.49
0.61,1.36
0.62,1.55
0.62,1.58
0.62,1.47
0.62,1.57
0.62,1.68
0.62,1.48
0.62,1.43
0.62,1.45
0.62,1.56
0.62,1.36
0.62,1.62
0.62,1.53
0.62,1.58
0.62,1.6
0.63,1.68
0.63,1.55
0.63,1.47
0.63,1.37
0.63,1.45
0.63,1.37
0.63,1.33
0.63,1.33
0.63,1.37
0.63,1.41
0.63,1.42
0.63,1.39
0.63,1.3
0.63,1.44
0.63,1.44
0.63,1.58
0.63,1.26
0.63,1.37
0.63,1.44
0.64,1.5
0.64,1.64
0.64,1.56
0.64,1.43
0.64,1.52
0.64,1.43
0.64,1.19
0.64,1.29
0.64,1.57
0.64,1.17
0.64,1.3
0.64,1.19
0.64,1.23
0.64,1.36
0.64,1.28
0.64,1.37
0.64,1.27
0.64,1.39
0.65,1.46
0.65,1.27
0.65,1.19
0.65,1.09
0.65,1.31
0.65,1.37
0.65,1.16
0.65,1.01
0.65,1.16
0.65,1.38
0.65,1.24
0.65,1.1
0.65,1.31
0.65,1.34
0.65,1.09
0.65,1.22
0.65,1.18
0.65,1.17
0.65,1.21
0.65,1.18
0.65,1.21
0.65,1.22
0.66,1.1
0.66,1.1
0.66,1.15
0.66,1.24
0.66,1.4
0.66,1.29
0.66,1.1
0.66,1.02
0.66,0.92
0.66,1.26
0.66,1.27
0.66,1.08
0.66,0.98
0.66,1.15
0.66,1.02
0.67,1.15
0.67,0.9
0.67,1.05
0.67,1.01
0.67,0.83
0.67,1.03
0.67,0.92
0.67,0.66
0.67,0.96
0.67,0.88
0.68,0.8
0.68,1.03
0.68,0.86
0.68,0.89
0.68,1.03
0.68,1.1
0.68,0.82
0.68,0.87
0.68,1.08
0.68,0.73
0.68,0.98
0.68,0.87
0.68,0.83
0.68,0.94
0.68,0.87
0.68,0.69
0.68,0.87
0.68,0.8
0.68,0.81
0.68,0.86
0.68,0.56
0.68,0.97
0.69,0.79
0.69,0.87
0.69,0.56
0.69,0.86
0.69,0.88
0.69,0.63
0.69,0.61
0.69,0.64
0.69,0.7
0.69,0.71
0.69,0.77
0.69,0.68
0.69,0.56
0.69,0.84
0.69,0.53
0.69,0.45
0.69,0.62
0.69,0.84
0.69,0.77
0.69,0.62
0.69,0.59
0.69,0.65
0.69,0.61
0.69,0.52
0.69,0.51
0.69,0.65
0.69,0.72
0.7,0.49
0.7,0.53
0.7,0.59
0.7,0.63
0.7,0.38
0.7,0.63
0.7,0.54
0.7,0.52
0.7,0.43
0.7,0.57
0.7,0.56
0.7,0.44
0.7,0.53
0.7,0.44
0.7,0.33
0.7,0.36
0.7,0.41
0.7,0.62
0.7,0.51
0.71,0.39
0.71,0.4
0.71,0.43
0.71,0.41
0.71,0.37
0.71,0.41
0.71,0.47
0.71,0.18
0.71,0.39
0.71,0.44
0.71,0.37
0.71,0.3
0.71,0.17
0.71,0.16
0.71,0.3
0.71,0.12
0.71,0.32
0.71,0.31
0.71,0.32
0.71,0.16
0.71,0.35
0.72,0.19
0.72,0.18
0.72,0.18
0.72,0.25
0.72,0.42
0.72,0.38
0.72,0.2
0.72,0.22
0.72,0.18
0.72,0.37
0.72,0.21
0.72,0.18
0.72,0.14
0.72,0.22
0.72,0.14
0.72,0.11
0.72,0.05
0.72,0.31
0.72,0.02
0.72,0.22
0.72,-0.06
0.72,0.27
0.72,0.11
0.73,0.01
0.73,0.1
0.73,0.16
0.73,0.1
0.73,-0.02
0.73,0.14
0.73,0.18
0.73,-0.02
0.73,0.1
0.73,0.1
0.73,-0.06
0.73,-0.34
0.73,0.07
0.73,0.16
0.73,0.06
0.73,-0.26
0.74,-0.1
0.74,-0.21
0.74,-0.08
0.74,-0.02
0.74,-0.08
0.74,0.13
0.74,-0.05
0.74,-0.14
0.74,-0.02
0.74,-0.03
0.74,-0.08
0.74,-0.24
0.74,-0.05
0.74,0.15
0.74,-0.05
0.75,-0.01
0.75,-0.09
0.75,-0.11
0.75,-0.04
0.75,-0.22
0.75,-0.24
0.75,-0.33
0.75,-0.17
0.75,-0.18
0.75,-0.3
0.75,-0.16
0.75,-0.42
0.75,-0.46
0.75,-0.36
0.75,-0.4
0.75,-0.22
0.75,-0.46
0.75,-0.24
0.75,-0.28
0.75,-0.4
0.75,-0.3
0.75,-0.23
0.75,-0.33
0.75,-0.33
0.75,-0.16
0.76,-0.18
0.76,-0.29
0.76,-0.22
0.76,-0.31
0.76,-0.4
0.76,-0.3
0.76,-0.3
0.76,-0.3
0.76,-0.28
0.76,-0.2
0.76,-0.35
0.76,-0.16
0.76,-0.45
0.76,-0.2
0.76,-0.4
0.76,-0.35
0.76,-0.37
0.76,-0.45
0.76,-0.43
0.76,-0.37
0.76,-0.5
0.76,-0.48
0.76,-0.35
0.76,-0.43
0.77,-0.59
0.77,-0.23
0.77,-0.33
0.77,-0.38
0.77,-0.45
0.77,-0.48
0.77,-0.55
0.77,-0.41
0.77,-0.41
0.77,-0.4
0.77,-0.45
0.77,-0.37
0.77,-0.46
0.77,-0.52
0.77,-0.48
0.77,-0.44
0.77,-0.48
0.77,-0.51
0.78,-0.5
0.78,-0.51
0.78,-0.45
0.78,-0.3
0.78,-0.5
0.78,-0.4
0.78,-0.38
0.78,-0.39
0.78,-0.53
0.78,-0.55
0.78,-0.68
0.78,-0.63
0.78,-0.52
0.78,-0.43
0.78,-0.62
0.78,-0.65
0.78,-0.38
0.78,-0.5
0.78,-0.56
0.78,-0.5
0.79,-0.52
0.79,-0.55
0.79,-0.74
0.79,-0.56
0.79,-0.5
0.79,-0.66
0.79,-0.67
0.79,-0.8
0.79,-0.63
0.79,-0.51
0.79,-0.54
0.79,-0.48
0.79,-0.77
0.79,-0.73
0.79,-0.64
0.79,-0.51
0.79,-0.66
0.79,-0.55
0.79,-0.79
0.79,-0.65
0.79,-0.51
0.8,-0.7
0.8,-0.85
0.8,-0.68
0.8,-0.67
0.8,-0.68
0.8,-0.7
0.8,-0.66
0.8,-0.74
0.8,-0.76
0.8,-0.39
0.8,-0.69
0.8,-0.71
0.8,-0.66
0.81,-0.6
0.81,-0.79
0.81,-0.61
0.81,-0.57
0.81,-0.77
0.81,-0.78
0.81,-0.5
0.81,-0.52
0.81,-0.53
0.81,-0.81
0.81,-0.77
0.81,-0.76
0.81,-0.68
0.81,-0.58
0.81,-0.81
0.81,-0.69
0.81,-0.84
0.81,-0.67
0.82,-0.8
0.82,-0.8
0.82,-0.51
0.82,-0.62
0.82,-0.74
0.82,-0.58
0.82,-0.58
0.82,-0.79
0.82,-0.61
0.82,-0.76
0.82,-0.71
0.82,-0.54
0.82,-0.69
0.82,-0.77
0.82,-0.74
0.82,-0.67
0.82,-0.81
0.82,-0.73
0.82,-0.69
0.82,-0.87
0.82,-0.59
0.82,-0.67
0.82,-0.72
0.82,-0.76
0.82,-0.98
0.83,-0.63
0.83,-0.63
0.83,-0.81
0.83,-0.83
0.83,-0.83
0.83,-0.66
0.83,-0.91
0.83,-0.76
0.83,-0.97
0.83,-0.86
0.83,-0.76
0.83,-0.72
0.83,-0.79
0.83,-0.8
0.83,-0.65
0.83,-0.77
0.83,-0.89
0.83,-0.55
0.83,-0.66
