Group,PID,Time,Y
1,41,2,-0.047
1,42,2,0.462
1,43,2,0.545
1,44,2,0.97
1,45,2,1.22
1,46,2,0.825
1,47,2,0.409
1,48,2,1.17
1,49,2,0.636
1,50,2,0.413
2,51,2,0.15
2,52,2,0.495
2,53,2,0.727
2,54,2,1.322
2,55,2,0.585
2,56,2,0.69
2,57,2,0.373
2,58,2,0.783
2,59,2,0.682
2,60,2,1.095
2,61,2,0.608
2,62,2,0.459
2,63,2,0.831
2,64,2,0.703
2,65,2,0.719
2,66,2,0.656
2,67,2,0.187
2,68,2,0.935
2,69,2,0.301
2,70,2,0.218
1,1,3,1.345
1,2,3,0.425
1,3,3,0.682
1,4,3,0.953
1,5,3,0.724
1,6,3,0.812
1,7,3,0.871
1,8,3,0.898
1,9,3,0.552
1,10,3,0.853
1,11,3,0.602
1,12,3,0.509
1,13,3,0.979
1,14,3,1.187
1,15,3,0.707
1,16,3,0.737
1,17,3,0.969
1,18,3,1.062
1,19,3,0.807
1,20,3,1.027
1,21,3,0.757
1,22,3,0.791
1,23,3,1.217
1,24,3,0.643
1,25,3,0.517
1,26,3,1.029
1,27,3,0.792
1,28,3,0.619
1,29,3,0.436
1,30,3,0.775
1,31,3,0.843
1,32,3,0.622
1,33,3,0.367
1,34,3,0.557
1,35,3,1.013
1,36,3,0.788
1,37,3,0.356
1,38,3,0.783
1,39,3,0.672
1,40,3,0.586
1,41,3,1.529
1,42,3,0.854
1,43,3,0.801
1,44,3,1.002
1,45,3,0.748
1,46,3,0.933
1,47,3,0.54
1,48,3,0.577
1,49,3,0.499
1,50,3,0.824
2,51,3,0.234
2,52,3,0.85
2,53,3,1.177
2,54,3,1.234
2,55,3,1.057
2,56,3,0.462
2,57,3,0.627
2,58,3,0.781
2,59,3,0.9
2,60,3,1.251
2,61,3,1.003
2,62,3,1.151
2,63,3,0.745
2,64,3,0.795
2,65,3,1.177
2,66,3,1.065
2,67,3,1.046
2,68,3,0.18
2,69,3,1.001
2,70,3,1.037
1,1,4,1.065
1,2,4,0.822
1,3,4,1.068
1,4,4,0.833
1,5,4,0.78
1,6,4,0.936
1,7,4,0.58
1,8,4,1.103
1,9,4,1.398
1,10,4,0.446
1,11,4,1.315
1,12,4,0.867
1,13,4,1.039
1,14,4,0.821
1,15,4,1.188
1,16,4,0.915
1,17,4,0.394
1,18,4,1.303
1,19,4,1.234
1,20,4,0.83
1,21,4,1.671
1,22,4,1.314
1,23,4,0.99
1,24,4,0.266
1,25,4,0.553
1,26,4,0.925
1,27,4,0.87
1,28,4,1.515
1,29,4,0.649
1,30,4,0.754
1,31,4,0.673
1,32,4,1.506
1,33,4,1.245
1,34,4,0.963
1,35,4,0.914
1,36,4,0.83
1,37,4,1.035
1,38,4,1.384
1,39,4,0.906
1,40,4,0.953
1,41,4,0.519
1,42,4,1.2
1,43,4,0.479
1,44,4,0.896
1,45,4,0.269
1,46,4,0.973
1,47,4,0.951
1,48,4,0.704
1,49,4,1.001
1,50,4,1.622
2,51,4,1.175
2,52,4,1.748
2,53,4,1.644
2,54,4,1.058
2,55,4,1.068
2,56,4,1.07
2,57,4,0.939
2,58,4,1.226
2,59,4,0.654
2,60,4,1.26
2,61,4,0.575
2,62,4,0.886
2,63,4,0.849
2,64,4,0.909
2,65,4,1.142
2,66,4,0.733
2,67,4,1.068
2,68,4,1.121
2,69,4,1.276
2,70,4,1.066
1,1,5,0.754
1,2,5,1.125
1,3,5,0.661
1,4,5,1
1,5,5,1.013
1,6,5,1.214
1,7,5,0.508
1,8,5,0.977
1,9,5,0.695
1,10,5,1.001
1,11,5,0.4
1,12,5,0.718
1,13,5,0.572
1,14,5,0.964
1,15,5,0.681
1,16,5,1.184
1,17,5,0.757
1,18,5,0.768
1,19,5,0.992
1,20,5,1.65
1,21,5,1.734
1,22,5,0.666
1,23,5,0.864
1,24,5,1.244
1,25,5,1.05
1,26,5,0.659
1,27,5,1.409
1,28,5,0.571
1,29,5,0.78
1,30,5,1.591
1,31,5,1.021
1,32,5,1.531
1,33,5,1.425
1,34,5,0.633
1,35,5,1.288
1,36,5,1.047
1,37,5,0.964
1,38,5,0.802
1,39,5,1.207
1,40,5,1.203
1,41,5,0.652
1,42,5,1.203
1,43,5,0.565
1,44,5,1.261
1,45,5,1.409
1,46,5,0.813
1,47,5,1.173
1,48,5,0.581
1,49,5,0.96
1,50,5,0.996
2,51,5,1.272
2,52,5,0.978
2,53,5,1.394
2,54,5,1.187
2,55,5,1.395
2,56,5,0.808
2,57,5,0.682
2,58,5,1.216
2,59,5,1.239
2,60,5,1.099
2,61,5,0.613
2,62,5,0.67
2,63,5,1.329
2,64,5,1.285
2,65,5,0.953
2,66,5,0.424
2,67,5,0.989
2,68,5,0.596
2,69,5,0.941
2,70,5,0.937
1,1,6,1.112
1,2,6,1.374
1,3,6,1.396
1,4,6,0.988
1,5,6,0.693
1,6,6,0.944
1,7,6,1.101
1,8,6,0.866
1,9,6,1.09
1,10,6,0.777
1,11,6,0.802
1,12,6,0.888
1,13,6,1.499
1,14,6,0.578
1,15,6,1.04
1,16,6,1.169
1,17,6,1.363
1,18,6,0.813
1,19,6,0.772
1,20,6,1.34
1,21,6,0.916
1,22,6,0.207
1,23,6,1.459
1,24,6,0.816
1,25,6,1.441
1,26,6,0.517
1,27,6,0.598
1,28,6,1.042
1,29,6,1.029
1,30,6,0.939
1,31,6,0.51
1,32,6,0.53
1,33,6,0.947
1,34,6,0.187
1,35,6,1.054
1,36,6,1.246
1,37,6,1.498
1,38,6,1.164
1,39,6,0.977
1,40,6,1.226
1,41,6,1.403
1,42,6,0.821
1,43,6,1.071
1,44,6,1.463
1,45,6,1.306
1,46,6,1.345
1,47,6,0.988
1,48,6,1.02
1,49,6,0.956
1,50,6,0.874
2,51,6,1.307
2,52,6,1.277
2,53,6,1.105
2,54,6,1.384
2,55,6,1.078
2,56,6,1.703
2,57,6,0.885
2,58,6,1.683
2,59,6,1.396
2,60,6,1.93
2,61,6,1.638
2,62,6,0.906
2,63,6,1.768
2,64,6,1.32
2,65,6,1.278
2,66,6,1.972
2,67,6,1.178
2,68,6,1.475
2,69,6,1.434
2,70,6,1.201
1,1,7,1.088
1,2,7,0.835
1,3,7,1.46
1,4,7,0.689
1,5,7,0.913
1,6,7,0.855
1,7,7,0.86
1,8,7,0.856
1,9,7,0.752
1,10,7,0.764
1,11,7,0.789
1,12,7,0.984
1,13,7,0.906
1,14,7,1.014
1,15,7,0.779
1,16,7,1.036
1,17,7,1.051
1,18,7,1.023
1,19,7,1.06
1,20,7,1.045
1,21,7,0.553
1,22,7,0.585
1,23,7,0.635
1,24,7,0.713
1,25,7,1.369
1,26,7,0.799
1,27,7,0.713
1,28,7,-0.016
1,29,7,0.566
1,30,7,0.862
1,31,7,1.125
1,32,7,0.612
1,33,7,0.572
1,34,7,1.217
1,35,7,0.89
1,36,7,0.957
1,37,7,0.969
1,38,7,0.862
1,39,7,1.449
1,40,7,0.937
1,41,7,0.209
1,42,7,0.665
1,43,7,0.814
1,44,7,0.864
1,45,7,0.634
1,46,7,0.744
1,47,7,1.078
1,48,7,1.212
1,49,7,0.679
1,50,7,0.691
2,51,7,1.204
2,52,7,1.486
2,53,7,1.115
2,54,7,1.233
2,55,7,0.904
2,56,7,1.018
2,57,7,1.503
2,58,7,1.339
2,59,7,1.487
2,60,7,1.879
2,61,7,0.427
2,62,7,0.904
2,63,7,1.3
2,64,7,1.822
2,65,7,0.84
2,66,7,1.397
2,67,7,1.009
2,68,7,1.66
2,69,7,0.935
2,70,7,1.344
1,1,8,0.88
1,2,8,0.823
1,3,8,0.597
1,4,8,0.537
1,5,8,0.511
1,6,8,0.503
1,7,8,0.612
1,8,8,0.943
1,9,8,0.83
1,10,8,0.36
1,11,8,0.657
1,12,8,0.452
1,13,8,0.937
1,14,8,1.099
1,15,8,0.028
1,16,8,0.535
1,17,8,1.035
1,18,8,1.012
1,19,8,0.577
1,20,8,0.709
1,21,8,0.115
1,22,8,0.417
1,23,8,0.798
1,24,8,0.342
1,25,8,0.854
1,26,8,1.308
1,27,8,0.488
1,28,8,0.708
1,29,8,1.03
1,30,8,0.37
1,31,8,0.858
1,32,8,0.332
1,33,8,1.033
1,34,8,0.381
1,35,8,0.762
1,36,8,0.12
1,37,8,0.52
1,38,8,0.428
1,39,8,0.928
1,40,8,0.427
1,41,8,0.929
1,42,8,0.861
1,43,8,0.53
1,44,8,0.848
1,45,8,0.284
1,46,8,0.907
1,47,8,0.808
1,48,8,0.348
1,49,8,0.494
1,50,8,0.938
2,51,8,1.325
2,52,8,1.228
2,53,8,1.289
2,54,8,0.634
2,55,8,1.577
2,56,8,0.571
2,57,8,1.128
2,58,8,1.441
2,59,8,1.571
2,60,8,1.506
2,61,8,1.177
2,62,8,0.522
2,63,8,0.989
2,64,8,0.536
2,65,8,0.466
2,66,8,1.422
2,67,8,1.153
2,68,8,0.973
2,69,8,1.394
2,70,8,0.695
1,1,9,0.408
1,2,9,0.484
1,3,9,0.187
1,4,9,0.459
1,5,9,1.03
1,6,9,0.403
1,7,9,0.221
1,8,9,1.123
1,9,9,1.007
1,10,9,1.041
1,11,9,0.806
1,12,9,1.295
1,13,9,0.787
1,14,9,0.949
1,15,9,0.077
1,16,9,0.091
1,17,9,0.592
1,18,9,0.425
1,19,9,1.032
1,20,9,0.584
1,21,9,0.654
1,22,9,0.514
1,23,9,0.885
1,24,9,0.493
1,25,9,0.764
1,26,9,0.567
1,27,9,0.506
1,28,9,0.653
1,29,9,0.14
1,30,9,0.097
1,31,9,0.394
1,32,9,0.7
1,33,9,0.542
1,34,9,-0.048
1,35,9,0.55
1,36,9,0.606
1,37,9,0.368
1,38,9,0.864
1,39,9,1.196
1,40,9,0.744
1,41,9,0.397
1,42,9,0.815
1,43,9,0.1
1,44,9,0.583
1,45,9,-0.05
1,46,9,0.549
1,47,9,0.664
1,48,9,0.372
1,49,9,0.761
1,50,9,1.132
2,51,9,1.32
2,52,9,0.739
2,53,9,0.897
2,54,9,1.123
2,55,9,0.968
2,56,9,0.644
2,57,9,1.084
2,58,9,0.877
2,59,9,0.954
2,60,9,0.834
2,61,9,0.819
2,62,9,0.635
2,63,9,1.396
2,64,9,1.008
2,65,9,0.893
2,66,9,0.806
2,67,9,1.262
2,68,9,0.658
2,69,9,0.994
2,70,9,0.458
1,1,10,0.712
1,2,10,-0.154
1,3,10,0.43
1,4,10,0.612
1,5,10,0.474
1,6,10,0.277
1,7,10,-0.187
1,8,10,0.567
1,9,10,0.735
1,10,10,0.159
1,11,10,0.3
1,12,10,0.306
1,13,10,0.244
1,14,10,0.503
1,15,10,0.534
1,16,10,0.142
1,17,10,0.226
1,18,10,-0.17
1,19,10,0.253
1,20,10,0.047
1,21,10,-0.068
1,22,10,0.138
1,23,10,0.439
1,24,10,0.469
1,25,10,0.215
1,26,10,0.308
1,27,10,-0.213
1,28,10,-0.067
1,29,10,0.324
1,30,10,-0.198
1,31,10,0.112
1,32,10,-0.128
1,33,10,0.143
1,34,10,0.557
1,35,10,-0.122
1,36,10,0.394
1,37,10,0.107
1,38,10,-0.368
1,39,10,0.363
1,40,10,0.663
1,41,10,0.396
1,42,10,0.295
1,43,10,-0.07
1,44,10,-0.035
1,45,10,0.178
1,46,10,0.793
1,47,10,-0.162
1,48,10,0.669
1,49,10,0.29
1,50,10,0.382
2,51,10,0.182
2,52,10,0.334
2,53,10,0.741
2,54,10,1.302
2,55,10,0.382
2,56,10,0.487
2,57,10,0.298
2,58,10,0.939
2,59,10,0.574
2,60,10,0.347
2,61,10,0.461
2,62,10,0.951
2,63,10,0.286
2,64,10,1.293
2,65,10,0.74
2,66,10,0.687
2,67,10,0.212
2,68,10,0.633
2,69,10,0.689
2,70,10,0.225
1,1,11,0.117
1,2,11,-0.124
1,3,11,-0.041
1,4,11,-0.457
1,5,11,0.273
1,6,11,-0.177
1,7,11,-0.323
1,8,11,0.362
1,9,11,-0.099
1,10,11,-0.482
1,11,11,0.122
1,12,11,0.339
1,13,11,-0.092
1,14,11,-0.561
1,15,11,-0.057
1,16,11,0.083
1,17,11,-0.277
1,18,11,0.513
1,19,11,0.256
1,20,11,0.188
1,21,11,0.685
1,22,11,0.069
1,23,11,-0.092
1,24,11,-0.176
1,25,11,0.141
1,26,11,0.1
1,27,11,-0.211
1,28,11,0.211
1,29,11,0.043
1,30,11,-0.127
1,31,11,0.281
1,32,11,-0.611
1,33,11,0.337
1,34,11,-0.004
1,35,11,0.705
1,36,11,0.198
1,37,11,0.056
1,38,11,-0.158
1,39,11,-0.34
1,40,11,0.676
1,41,11,0.263
1,42,11,-0.094
1,43,11,0.611
1,44,11,-0.278
1,45,11,-0.55
1,46,11,0.213
1,47,11,0.203
1,48,11,-0.205
1,49,11,-0.056
1,50,11,-0.078
2,51,11,0.791
2,52,11,0.654
2,53,11,0.006
2,54,11,1.027
2,55,11,0.078
2,56,11,0.152
2,57,11,0.298
2,58,11,0.353
2,59,11,0.17
2,60,11,0.458
2,61,11,0.419
2,62,11,0.226
2,63,11,0.126
2,64,11,0.059
2,65,11,0.249
2,66,11,-0.246
2,67,11,0.085
2,68,11,0.876
2,69,11,0.624
2,70,11,0.292
1,1,12,-0.445
1,2,12,-0.377
1,3,12,0.462
1,4,12,-0.081
1,5,12,-0.144
1,6,12,-0.099
1,7,12,0.041
1,8,12,-0.628
1,9,12,-0.944
1,10,12,-0.2
1,11,12,-0.28
1,12,12,-0.946
1,13,12,0.009
1,14,12,-0.114
1,15,12,-0.018
1,16,12,-0.506
1,17,12,0.219
1,18,12,0.172
1,19,12,-0.197
1,20,12,0.185
1,21,12,-0.525
1,22,12,-0.386
1,23,12,-0.384
1,24,12,-0.441
1,25,12,-0.146
1,26,12,-0.374
1,27,12,-0.044
1,28,12,-0.16
1,29,12,-0.579
1,30,12,0.149
1,31,12,-0.578
1,32,12,0.348
1,33,12,-0.487
1,34,12,-0.439
1,35,12,-0.682
1,36,12,-0.568
1,37,12,-0.206
1,38,12,-0.721
1,39,12,-0.132
1,40,12,-0.407
1,41,12,-0.546
1,42,12,-0.523
1,43,12,-0.357
1,44,12,0.317
1,45,12,-0.503
1,46,12,-0.36
1,47,12,-0.496
1,48,12,-0.053
1,49,12,-1.223
1,50,12,0.363
2,51,12,-0.2
2,52,12,-0.223
2,53,12,-0.387
2,54,12,-0.208
2,55,12,-0.425
2,56,12,-0.33
2,57,12,-0.61
2,58,12,-0.463
2,59,12,-0.432
2,60,12,-0.425
2,61,12,-0.242
2,62,12,0.262
2,63,12,-0.004
2,64,12,-0.498
2,65,12,-0.07
2,66,12,-0.151
2,67,12,0.233
2,68,12,-0.229
2,69,12,0.041
2,70,12,-0.022
1,1,13,-1.164
1,2,13,-0.518
1,3,13,-0.512
1,4,13,-0.4
1,5,13,0.005
1,6,13,-0.956
1,7,13,-0.686
1,8,13,-0.205
1,9,13,0.249
1,10,13,-0.421
1,11,13,-0.574
1,12,13,-0.278
1,13,13,-0.814
1,14,13,-0.363
1,15,13,0.066
1,16,13,-0.521
1,17,13,-0.486
1,18,13,-0.713
1,19,13,-1.402
1,20,13,-0.175
1,21,13,-0.467
1,22,13,-0.388
1,23,13,-0.393
1,24,13,-0.171
1,25,13,-0.728
1,26,13,-0.92
1,27,13,-0.36
1,28,13,-0.207
1,29,13,-0.629
1,30,13,0.026
1,31,13,-0.795
1,32,13,-0.198
1,33,13,-0.155
1,34,13,-0.553
1,35,13,-0.505
1,36,13,-1.211
1,37,13,-0.225
1,38,13,-0.442
1,39,13,-0.777
1,40,13,-0.358
1,41,13,-0.712
1,42,13,-0.626
1,43,13,-0.268
1,44,13,-0.236
1,45,13,-0.451
1,46,13,-0.503
1,47,13,-0.64
1,48,13,-0.383
1,49,13,-0.883
1,50,13,-0.734
2,51,13,-0.602
2,52,13,-0.355
2,53,13,-0.778
2,54,13,-0.532
2,55,13,-0.323
2,56,13,-0.679
2,57,13,-0.749
2,58,13,-0.866
2,59,13,-0.774
2,60,13,-0.418
2,61,13,-0.426
2,62,13,-0.552
2,63,13,-0.778
2,64,13,-0.619
2,65,13,-0.358
2,66,13,-0.36
2,67,13,-0.862
2,68,13,-0.455
2,69,13,-0.72
2,70,13,-0.286
1,1,14,-0.37
1,2,14,-0.377
1,3,14,-0.5
1,4,14,-0.388
1,5,14,-0.898
1,6,14,-0.615
1,7,14,-1.122
1,8,14,-0.641
1,9,14,-0.507
1,10,14,-1.003
1,11,14,-0.498
1,12,14,-1.102
1,13,14,-0.116
1,14,14,-0.813
1,15,14,-0.265
1,16,14,-1.057
1,17,14,-0.922
1,18,14,-0.727
1,19,14,-1.117
1,20,14,-0.951
1,21,14,0.436
1,22,14,-0.817
1,23,14,-0.553
1,24,14,-0.781
1,25,14,-0.795
1,26,14,0.096
1,27,14,-0.999
1,28,14,-0.96
1,29,14,-0.904
1,30,14,-0.237
1,31,14,-0.58
1,32,14,-0.462
1,33,14,-0.96
1,34,14,-0.835
1,35,14,-0.87
1,36,14,-0.804
1,37,14,-0.611
1,38,14,-0.628
1,39,14,-1.009
1,40,14,-0.349
1,41,14,-1.606
1,42,14,-1.152
1,43,14,-0.472
1,44,14,-0.484
1,45,14,-0.45
1,46,14,-0.745
1,47,14,-0.739
1,48,14,-1.099
1,49,14,-0.478
1,50,14,-0.368
2,51,14,-0.328
2,52,14,-0.795
2,53,14,-0.986
2,54,14,-0.653
2,55,14,-0.865
2,56,14,-0.83
2,57,14,-0.638
2,58,14,-0.92
2,59,14,-0.596
2,60,14,-0.872
2,61,14,-0.67
2,62,14,-0.989
2,63,14,-0.439
2,64,14,-0.68
2,65,14,-0.809
2,66,14,-0.979
2,67,14,-1.495
2,68,14,-0.871
2,69,14,-0.563
2,70,14,-0.877
1,1,15,-0.88
1,2,15,-0.637
1,3,15,-0.858
1,4,15,-0.957
1,5,15,-1.005
1,6,15,-1.327
1,7,15,-0.305
1,8,15,-1.306
1,9,15,-0.704
1,10,15,-1.733
1,11,15,-0.522
1,12,15,-0.59
1,13,15,-0.981
1,14,15,-0.815
1,15,15,-0.663
1,16,15,-0.869
1,17,15,-0.606
1,18,15,-1.394
1,19,15,-0.993
1,20,15,-1.352
1,21,15,-1.199
1,22,15,-0.509
1,23,15,-0.86
1,24,15,-0.914
1,25,15,-0.906
1,26,15,-0.993
1,27,15,-0.698
1,28,15,-1.157
1,29,15,-0.578
1,30,15,-0.477
1,31,15,-1.001
1,32,15,-1.065
1,33,15,-0.749
1,34,15,-0.567
1,35,15,-0.326
1,36,15,-1.149
1,37,15,-0.976
1,38,15,-1.202
1,39,15,-0.923
1,40,15,-0.901
1,41,15,-1.154
1,42,15,-1.075
1,43,15,-0.637
1,44,15,-0.822
1,45,15,-1.112
1,46,15,-1.493
1,47,15,-1.36
1,48,15,-0.501
1,49,15,-0.988
1,50,15,-0.992
2,51,15,-0.584
2,52,15,-1.362
2,53,15,-1.082
2,54,15,-0.522
2,55,15,-0.463
2,56,15,-0.768
2,57,15,-1.111
2,58,15,-1.091
2,59,15,-1.306
2,60,15,-0.59
2,61,15,-1.027
2,62,15,-0.951
2,63,15,-1.148
2,64,15,-0.938
2,65,15,-0.851
2,66,15,-1.025
2,67,15,-0.861
2,68,15,-1.024
2,69,15,-1.163
2,70,15,-0.441
1,1,16,-0.971
1,2,16,-1.015
1,3,16,-1.189
1,4,16,-0.855
1,5,16,-0.536
1,6,16,-1.056
1,7,16,-0.838
1,8,16,-0.81
1,9,16,-0.97
1,10,16,-1.158
1,11,16,-1.687
1,12,16,-0.846
1,13,16,-0.47
1,14,16,-1.225
1,15,16,-0.852
1,16,16,-0.927
1,17,16,-0.644
1,18,16,-0.795
1,19,16,-0.895
1,20,16,-0.999
1,21,16,-0.874
1,22,16,-1.187
1,23,16,-0.57
1,24,16,-1.154
1,25,16,-0.548
1,26,16,-1.056
1,27,16,-1.696
1,28,16,-1.497
1,29,16,-0.499
1,30,16,-1.037
1,31,16,-0.688
1,32,16,-0.969
1,33,16,-0.699
1,34,16,-0.748
1,35,16,-0.662
1,36,16,-1.196
1,37,16,-1.248
1,38,16,-0.771
1,39,16,-0.686
1,40,16,-0.808
1,41,16,-0.852
1,42,16,-0.625
1,43,16,-0.877
1,44,16,-0.82
1,45,16,-1.003
1,46,16,-0.457
1,47,16,-0.996
1,48,16,-0.727
1,49,16,-1.328
1,50,16,-1.272
2,51,16,-0.583
2,52,16,-0.945
2,53,16,-1.09
2,54,16,-0.523
2,55,16,-0.893
2,56,16,-1.315
2,57,16,-1.264
2,58,16,-0.793
2,59,16,-1.49
2,60,16,-0.309
2,61,16,-0.888
2,62,16,-1.143
2,63,16,-0.804
2,64,16,-1.105
2,65,16,-0.577
2,66,16,-0.563
2,67,16,-0.863
2,68,16,-1.008
2,69,16,-0.297
2,70,16,-1.31
1,1,17,-0.717
1,2,17,-1.076
1,3,17,-0.943
1,4,17,-0.92
1,5,17,-1.195
1,6,17,-1.158
1,7,17,-1.072
1,8,17,-1.048
1,9,17,-0.847
1,10,17,-0.829
1,11,17,-0.828
1,12,17,-1.122
1,13,17,-0.546
1,14,17,-0.796
1,15,17,-1.058
1,16,17,-1.044
1,17,17,-0.431
1,18,17,-0.516
1,19,17,-1.703
1,20,17,-0.868
1,21,17,-1.332
1,22,17,-0.913
1,23,17,-1.02
1,24,17,-0.73
1,25,17,-1.311
1,26,17,-1.538
1,27,17,-1.102
1,28,17,-1.097
1,29,17,-1.312
1,30,17,-1.367
1,31,17,-1.06
1,32,17,-0.814
1,33,17,-1.401
1,34,17,-1.518
1,35,17,-1.169
1,36,17,-1.286
1,37,17,-0.81
1,38,17,-1.31
1,39,17,-0.897
1,40,17,-0.936
1,41,17,-0.848
1,42,17,-0.666
1,43,17,-1.376
1,44,17,-0.954
1,45,17,-0.924
1,46,17,-0.681
1,47,17,-1.132
1,48,17,-1.146
1,49,17,-1.132
1,50,17,-0.635
2,51,17,-1.087
2,52,17,-0.283
2,53,17,-1.002
2,54,17,-0.878
2,55,17,-0.941
2,56,17,-0.772
2,57,17,-1.392
2,58,17,-1.016
2,59,17,-1.2
2,60,17,-0.711
2,61,17,-0.584
2,62,17,-1.133
2,63,17,-1.055
2,64,17,-0.422
2,65,17,-0.906
2,66,17,-0.859
2,67,17,-0.996
2,68,17,-1.477
2,69,17,-0.863
2,70,17,-1.148
1,1,18,-0.72
1,2,18,-0.757
1,3,18,-1.507
1,4,18,-1.129
1,5,18,-1.028
1,6,18,-1.162
1,7,18,-0.648
1,8,18,-0.527
1,9,18,-1.015
1,10,18,-0.984
1,11,18,-0.854
1,12,18,-0.569
1,13,18,-0.941
1,14,18,-1.064
1,15,18,-0.493
1,16,18,-1.015
1,17,18,-1.147
1,18,18,-1.457
1,19,18,-0.677
1,20,18,-0.561
1,21,18,-0.862
1,22,18,-1.231
1,23,18,-1.176
1,24,18,-1.264
1,25,18,-1.6
1,26,18,-1.04
1,27,18,-0.752
1,28,18,-1.368
1,29,18,-0.687
1,30,18,-1.064
1,31,18,-0.607
1,32,18,-1.35
1,33,18,-0.846
1,34,18,-0.86
1,35,18,-0.904
1,36,18,-1.085
1,37,18,-0.985
1,38,18,-0.768
1,39,18,-0.722
1,40,18,-1.006
1,41,18,-0.358
1,42,18,-1.227
1,43,18,-1.269
1,44,18,-0.953
1,45,18,-0.45
1,46,18,-1.196
1,47,18,-1.181
1,48,18,-1.237
1,49,18,-1.079
1,50,18,-1.506
2,51,18,-0.733
2,52,18,-1.404
2,53,18,-0.776
2,54,18,-0.632
2,55,18,-0.971
2,56,18,-0.967
2,57,18,-1.396
2,58,18,-1.155
2,59,18,-0.641
2,60,18,-0.743
2,61,18,-0.766
2,62,18,-0.948
2,63,18,-0.698
2,64,18,-0.929
2,65,18,-0.725
2,66,18,-1.042
2,67,18,-1.228
2,68,18,-0.596
2,69,18,-0.977
2,70,18,-1.186
1,1,19,-0.688
1,2,19,-0.699
1,3,19,-0.426
1,4,19,-0.504
1,5,19,-0.984
1,6,19,-0.883
1,7,19,-0.6
1,8,19,-1.096
1,9,19,-0.74
1,10,19,-0.895
1,11,19,-0.994
1,12,19,-1.076
1,13,19,-0.696
