Year,Loser_PID,Winner_PID,Loser_Index,Winner_Index
2000,56,316,589,3353
2000,412,358,4367,3798
2000,266,439,2813,4650
2000,439,147,4650,1522
2000,256,154,2704,1603
2000,147,316,1522,3353
2000,31,319,317,3383
2000,108,355,1104,3770
2000,174,439,1819,4650
2000,319,126,3383,1284
2000,352,167,3752,1740
2000,279,257,2967,2718
2000,381,349,4048,3727
2000,242,358,2523,3798
2000,383,362,4064,3824
2000,257,126,2718,1284
2000,137,362,1409,3824
2000,126,167,1284,1740
2000,358,349,3798,3727
2000,238,41,2487,443
2000,323,120,3417,1209
2000,436,155,4623,1611
2000,264,177,2786,1843
2000,351,185,3742,1922
2000,197,301,2052,3211
2000,226,346,2356,3682
2000,311,431,3295,4563
2000,356,177,3778,1843
2000,41,185,443,1922
2000,301,208,3211,2166
2000,185,177,1922,1843
2000,137,12,1409,126
2000,208,125,2166,1262
2000,128,155,1307,1611
2000,311,185,3295,1922
2000,301,226,3211,2356
2000,244,343,2545,3664
2000,72,346,742,3682
2000,351,356,3742,3778
2000,362,359,3824,3805
2000,177,436,1843,4623
2000,226,117,2356,1188
2000,191,125,1999,1262
2000,185,343,1922,3664
2000,155,346,1611,3682
2000,12,356,126,3778
2000,359,436,3805,4623
2000,125,343,1262,3664
2000,436,346,4623,3682
2000,117,343,1188,3664
2000,266,56,2813,589
2000,262,174,2771,1819
2000,320,219,3389,2283
2000,408,238,4339,2487
2000,421,325,4454,3435
2000,43,382,466,4059
2000,228,67,2374,682
2000,358,238,3798,2487
2000,174,67,1819,682
2000,142,219,1472,2283
2000,56,325,589,3435
2000,238,382,2487,4059
2000,219,67,2283,682
2000,382,325,4059,3435
2000,325,67,3435,682
2000,343,31,3664,317
2000,108,41,1104,443
2000,90,181,935,1885
2000,323,191,3417,1999
2000,337,423,3587,4471
2000,181,41,1885,443
2000,191,244,1999,2545
2000,362,423,3824,4471
2000,41,351,443,3742
2000,351,423,3742,4471
2000,436,54,4623,572
2000,311,154,3295,1603
2000,383,183,4064,1908
2000,412,256,4367,2704
2000,279,257,2967,2718
2000,257,147,2718,1522
2000,137,219,1409,2283
2000,256,349,2704,3727
2000,349,219,3727,2283
2000,154,54,1603,572
2000,54,219,572,2283
2000,358,55,3798,579
2000,97,56,997,589
2000,262,67,2771,682
2000,43,139,466,1434
2000,355,320,3770,3389
2000,382,325,4059,3435
2000,139,142,1434,1472
2000,56,320,589,3389
2000,67,325,682,3435
2000,439,421,4650,4454
2000,408,142,4339,1472
2000,55,228,579,2374
2000,421,325,4454,3435
2000,320,228,3389,2374
2000,142,325,1472,3435
2000,325,228,3435,2374
2000,43,259,466,2741
2000,56,320,589,3389
2000,142,355,1472,3770
2000,408,439,4339,4650
2000,439,97,4650,997
2000,67,259,682,2741
2000,355,325,3770,3435
2000,320,113,3389,1153
2000,174,228,1819,2374
2000,259,325,2741,3435
2000,97,421,997,4454
2000,421,113,4454,1153
2000,228,325,2374,3435
2000,113,325,1153,3435
2000,42,76,452,784
2000,154,77,1603,790
2000,361,126,3818,1284
2000,219,177,2283,1843
2000,163,264,1691,2786
2000,436,287,4623,3050
2000,54,311,572,3295
2000,311,77,3295,790
2000,287,128,3050,1307
2000,126,238,1284,2487
2000,76,77,784,790
2000,238,177,2487,1843
2000,77,177,790,1843
2000,128,182,1307,1891
2000,177,182,1843,1891
2000,2,12,12,126
2000,226,76,2356,784
2000,219,77,2283,790
2000,155,117,1611,1188
2000,137,126,1409,1284
2000,301,163,3211,1691
2000,359,167,3805,1740
2000,287,182,3050,1891
2000,113,185,1153,1922
2000,154,191,1603,1999
2000,72,197,742,2052
2000,147,228,1522,2374
2000,41,238,443,2487
2000,93,279,963,2967
2000,42,346,452,3682
2000,208,356,2166,3778
2000,421,436,4454,4623
2000,191,77,1999,790
2000,197,117,2052,1188
2000,351,120,3742,1209
2000,177,163,1843,1691
2000,228,167,2374,1740
2000,97,238,997,2487
2000,346,279,3682,2967
2000,185,356,1922,3778
2000,279,12,2967,126
2000,356,76,3778,784
2000,436,117,4623,1188
2000,120,238,1209,2487
2000,167,316,1740,3353
2000,77,361,790,3818
2000,12,238,126,2487
2000,361,316,3818,3353
2000,238,76,2487,784
2000,316,117,3353,1188
2000,117,76,1188,784
2000,343,55,3664,579
2000,244,56,2545,589
2000,147,125,1522,1262
2000,43,129,466,1320
2000,348,154,3705,1603
2000,323,191,3417,1999
2000,412,223,4367,2324
2000,97,266,997,2813
2000,264,301,2786,3211
2000,358,311,3798,3295
2000,382,337,4059,3587
2000,421,339,4454,3614
2000,197,359,2052,3805
2000,183,361,1908,3818
2000,226,423,2356,4471
2000,339,2,3614,12
2000,128,24,1307,246
2000,14,120,141,1209
2000,12,126,126,1284
2000,361,163,3818,1691
2000,129,167,1320,1740
2000,55,177,579,1843
2000,142,182,1472,1891
2000,337,185,3587,1922
2000,381,191,4048,1999
2000,77,223,790,2324
2000,72,228,742,2374
2000,256,238,2704,2487
2000,155,259,1611,2741
2000,76,301,784,3211
2000,356,311,3778,3295
2000,359,316,3805,3353
2000,351,423,3742,4471
2000,125,436,1262,4623
2000,311,2,3295,12
2000,24,117,246,1188
2000,436,177,4623,1843
2000,167,182,1740,1891
2000,223,185,2324,1922
2000,191,228,1999,2374
2000,259,238,2741,2487
2000,185,126,1922,1284
2000,316,137,3353,1409
2000,117,238,1188,2487
2000,177,2,1843,12
2000,137,182,1409,1891
2000,126,228,1284,2374
2000,2,228,12,2374
2000,256,2,2704,12
2000,147,414,1522,4382
2000,154,219,1603,2283
2000,358,266,3798,2813
2000,2,414,12,4382
2000,108,12,1104,126
2000,320,113,3389,1153
2000,174,325,1819,3435
2000,435,421,4604,4454
2000,72,423,742,4471
2000,337,12,3587,126
2000,423,97,4471,997
2000,113,325,1153,3435
2000,12,421,126,4454
2000,325,163,3435,1691
2000,97,421,997,4454
2000,163,421,1691,4454
2000,436,128,4623,1307
2000,56,142,589,1472
2000,244,238,2545,2487
2000,43,259,466,2741
2000,247,262,2582,2771
2000,293,382,3126,4059
2000,362,408,3824,4339
2000,262,120,2771,1209
2000,382,128,4059,1307
2000,142,177,1472,1843
2000,259,408,2741,4339
2000,128,238,1307,2487
2000,408,287,4339,3050
2000,167,12,1740,126
2000,191,72,1999,742
2000,362,77,3824,790
2000,359,117,3805,1188
2000,316,126,3353,1284
2000,351,142,3742,1472
2000,343,177,3664,1843
2000,97,185,997,1922
2000,228,226,2374,2356
2000,219,287,2283,3050
2000,125,301,1262,3211
2000,423,348,4471,3705
2000,113,358,1153,3798
2000,41,361,443,3818
2000,238,382,2487,4059
2000,381,436,4048,4623
2000,358,48,3798,516
2000,177,67,1843,682
2000,436,72,4623,742
2000,356,76,3778,784
2000,155,77,1611,790
2000,12,128,126,1307
2000,259,142,2741,1472
2000,126,348,1284,3705
2000,287,361,3050,3818
2000,67,76,682,784
2000,382,128,4059,1307
2000,48,142,516,1472
2000,72,185,742,1922
2000,361,226,3818,2356
2000,128,142,1307,1472
2000,76,185,784,1922
2000,142,185,1472,1922
2000,120,128,1209,1307
2000,97,142,997,1472
2000,361,259,3818,2741
2000,320,262,3389,2771
2000,72,287,742,3050
2000,382,311,4059,3295
2000,408,343,4339,3664
2000,436,351,4623,3742
2000,43,356,466,3778
2000,77,358,790,3798
2000,56,362,589,3824
2000,381,423,4048,4471
2000,421,128,4454,1307
2000,76,142,784,1472
2000,262,167,2771,1740
2000,259,238,2741,2487
2000,12,343,126,3664
2000,325,351,3435,3742
2000,356,128,3778,1307
2000,346,167,3682,1740
2000,185,238,1922,2487
2000,343,287,3664,3050
2000,142,351,1472,3742
2000,167,287,1740,3050
2000,238,351,2487,3742
2000,287,128,3050,1307
2000,128,351,1307,3742
2000,337,74,3587,766
2000,183,325,1908,3435
2000,412,348,4367,3705
2000,74,287,766,3050
2000,262,325,2771,3435
2000,348,351,3705,3742
2000,67,43,682,466
2000,264,325,2786,3435
2000,287,351,3050,3742
2000,43,351,466,3742
2000,97,113,997,1153
2000,311,117,3295,1188
2000,323,167,3417,1740
2000,436,279,4623,2967
2000,362,301,3824,3211
2000,244,117,2545,1188
2000,408,167,4339,1740
2000,301,117,3211,1188
2000,113,382,1153,4059
2000,117,167,1188,1740
2000,279,382,2967,4059
2000,167,382,1740,4059
2000,137,91,1409,942
2000,257,158,2718,1633
2000,439,174,4650,1819
2000,13,347,132,3689
2000,349,350,3727,3735
2000,14,414,141,4382
2000,256,91,2704,942
2000,108,158,1104,1633
2000,350,174,3735,1819
2000,174,91,1819,942
2000,383,158,4064,1633
2000,91,266,942,2813
2000,266,158,2813,1633
2000,265,2,2808,12
2000,361,12,3818,126
2000,226,76,2356,784
2000,320,77,3389,790
2000,381,113,4048,1153
2000,355,128,3770,1307
2000,219,182,2283,1891
2000,155,228,1611,2374
2000,197,238,2052,2487
2000,67,259,682,2741
2000,348,287,3705,3050
2000,167,301,1740,3211
2000,120,311,1209,3295
2000,343,316,3664,3353
2000,346,421,3682,4454
2000,142,2,1472,12
2000,301,76,3211,784
2000,408,77,4339,790
2000,436,113,4623,1153
2000,12,128,126,1307
2000,97,182,997,1891
2000,382,185,4059,1922
2000,316,228,3353,2374
2000,351,259,3742,2741
2000,177,356,1843,3778
2000,356,76,3778,784
2000,117,182,1188,1891
2000,2,185,12,1922
2000,113,228,1153,2374
2000,311,259,3295,2741
2000,128,325,1307,3435
2000,185,76,1922,784
2000,325,182,3435,1891
2000,77,228,790,2374
2000,76,228,784,2374
2000,382,76,4059,784
2000,226,117,2356,1188
2000,287,128,3050,1307
2000,356,163,3778,1691
2000,12,177,126,1843
2000,316,182,3353,1891
2000,167,215,1740,2238
2000,358,259,3798,2741
2000,421,265,4454,2808
2000,125,311,1262,3295
2000,219,325,2283,3435
2000,238,343,2487,3664
2000,77,351,790,3742
2000,381,362,4048,3824
2000,142,436,1472,4623
2000,265,76,2808,784
2000,264,113,2786,1153
2000,155,177,1611,1843
2000,163,228,1691,2374
2000,128,311,1307,3295
2000,361,325,3818,3435
2000,259,351,2741,3742
2000,182,436,1891,4623
2000,126,228,1284,2374
2000,97,311,997,3295
2000,343,351,3664,3742
2000,177,436,1843,4623
2000,436,311,4623,3295
2000,311,228,3295,2374
2000,351,228,3742,2374
2000,349,43,3727,466
2000,244,137,2545,1409
2000,125,174,1262,1819
2000,348,219,3705,2283
2000,421,311,4454,3295
2000,154,337,1603,3587
2000,174,43,1819,466
2000,219,183,2283,1908
2000,361,262,3818,2771
2000,137,311,1409,3295
2000,183,262,1908,2771
2000,43,320,466,3389
2000,320,311,3389,3295
2000,108,2,1104,12
2000,259,55,2741,579
2000,265,67,2808,682
2000,120,72,1209,742
2000,245,74,2558,766
2000,264,76,2786,784
2000,191,77,1999,790
2000,337,117,3587,1188
2000,359,118,3805,1194
2000,14,125,141,1262
2000,362,126,3824,1284
2000,155,128,1611,1307
2000,208,137,2166,1409
2000,97,142,997,1472
2000,349,154,3727,1603
2000,323,174,3417,1819
2000,381,177,4048,1843
2000,255,183,2684,1908
2000,41,185,443,1922
2000,348,197,3705,2052
2000,43,219,466,2283
2000,147,223,1522,2324
2000,423,228,4471,2374
2000,48,238,516,2487
2000,311,320,3295,3389
2000,24,351,246,3742
2000,361,358,3818,3798
2000,319,382,3383,4059
2000,315,408,3338,4339
2000,279,421,2967,4454
2000,242,436,2523,4623
2000,183,12,1908,126
2000,185,55,1922,579
2000,67,113,682,1153
2000,142,117,1472,1188
2000,137,125,1409,1262
2000,74,126,766,1284
2000,174,182,1819,1891
2000,2,226,12,2356
2000,408,238,4339,2487
2000,154,316,1603,3353
2000,72,358,742,3798
2000,219,360,2283,3813
2000,414,382,4382,4059
2000,117,77,1188,790
2000,223,125,2324,1262
2000,325,128,3435,1307
2000,360,182,3813,1891
2000,126,238,1284,2487
2000,12,316,126,3353
2000,167,351,1740,3742
2000,226,382,2356,4059
2000,177,421,1843,4454
2000,125,76,1262,784
2000,182,77,1891,790
2000,316,128,3353,1307
2000,238,228,2487,2374
2000,113,382,1153,4059
2000,76,128,784,1307
2000,77,382,790,4059
2000,128,228,1307,2374
2000,72,125,742,1262
2000,155,208,1611,2166
2000,167,244,1740,2545
2000,348,320,3705,3389
2000,197,323,2052,3417
2000,320,208,3389,2166
2000,287,238,3050,2487
2000,244,323,2545,3417
2000,238,323,2487,3417
2000,358,51,3798,553
2000,381,147,4048,1522
2000,24,163,246,1691
2000,337,245,3587,2558
2000,383,265,4064,2808
2000,174,279,1819,2967
2000,106,307,1088,3266
2000,372,311,3944,3295
2000,14,316,141,3353
2000,126,346,1284,3682
2000,240,355,2508,3770
2000,154,356,1603,3778
2000,108,2,1104,12
2000,177,51,1843,553
2000,356,147,3778,1522
2000,316,191,3353,1999
2000,117,226,1188,2356
2000,349,245,3727,2558
2000,265,279,2808,2967
2000,48,351,516,3742
2000,163,355,1691,3770
2000,279,51,2967,553
2000,191,182,1999,1891
2000,226,311,2356,3295
2000,346,351,3682,3742
2000,311,355,3295,3770
2000,362,14,3824,141
2000,177,41,1843,443
2000,219,72,2283,742
2000,147,126,1522,1284
2000,240,137,2508,1409
2000,381,163,4048,1691
2000,264,279,2786,2967
2000,67,343,682,3664
2000,279,41,2967,443
2000,343,126,3664,1284
2000,356,137,3778,1409
2000,14,163,141,1691
2000,126,163,1284,1691
2000,41,163,443,1691
2000,412,120,4367,1209
2000,337,174,3587,1819
2000,435,120,4604,1209
2000,93,2,963,12
2000,191,72,1999,742
2000,183,97,1908,997
2000,259,113,2741,1153
2000,174,117,1819,1188
2000,56,120,589,1209
2000,14,126,141,1284
2000,182,137,1891,1409
2000,48,154,516,1603
2000,359,155,3805,1611
2000,208,167,2166,1740
2000,383,177,4064,1843
2000,436,185,4623,1922
2000,262,240,2771,2508
2000,118,264,1194,2786
2000,408,279,4339,2967
2000,349,307,3727,3266
2000,275,316,2917,3353
2000,439,320,4650,3389
2000,358,323,3798,3417
2000,382,343,4059,3664
2000,43,351,466,3742
2000,24,361,246,3818
2000,287,362,3050,3824
2000,346,381,3682,4048
2000,67,426,682,4510
2000,265,2,2808,12
2000,240,113,2508,1153
2000,356,137,3778,1409
2000,245,147,2558,1522
2000,219,155,2283,1611
2000,423,167,4471,1740
2000,72,177,742,1843
2000,97,316,997,3353
2000,381,320,4048,3389
2000,307,343,3266,3664
2000,337,361,3587,3818
2000,120,362,1209,3824
2000,155,2,1611,12
2000,311,126,3295,1284
2000,154,137,1603,1409
2000,12,177,126,1843
2000,361,316,3818,3353
2000,228,319,2374,3383
2000,167,343,1740,3664
2000,113,426,1153,4510
2000,323,2,3417,12
2000,117,137,1188,1409
2000,177,316,1843,3353
2000,343,319,3664,3383
2000,126,426,1284,4510
2000,316,2,3353,12
2000,439,56,4650,589
2000,196,183,2038,1908
2000,48,185,516,1922
2000,67,244,682,2545
2000,358,320,3798,3389
2000,264,355,2786,3770
2000,43,414,466,4382
2000,262,423,2771,4471
2000,185,183,1922,1908
2000,355,244,3770,2545
2000,408,266,4339,2813
2000,320,244,3389,2545
2000,183,423,1908,4471
2000,125,76,1262,784
2000,219,77,2283,790
2000,128,142,1307,1472
2000,395,155,4193,1611
2000,181,163,1885,1691
2000,54,208,572,2166
2000,421,259,4454,2741
2000,436,279,4623,2967
2000,12,301,126,3211
2000,97,325,997,3435
2000,223,343,2324,3664
2000,362,382,3824,4059
2000,381,76,4048,784
2000,155,77,1611,790
2000,279,142,2967,1472
2000,208,163,2166,1691
2000,259,325,2741,3435
2000,343,382,3664,4059
2000,301,77,3211,790
2000,382,142,4059,1472
2000,163,325,1691,3435
2000,142,76,1472,784
2000,77,325,790,3435
2000,325,76,3435,784
2000,242,323,2523,3417
2000,51,14,553,141
2000,323,431,3417,4563
2000,129,14,1320,141
2000,41,431,443,4563
2000,14,431,141,4563
2000,419,54,4436,572
2000,436,84,4623,869
2000,349,341,3727,3640
2000,238,348,2487,3705
2000,14,413,141,4374
2000,341,31,3640,317
2000,139,266,1434,2813
2000,97,372,997,3944
2000,31,84,317,869
2000,54,372,572,3944
2000,84,372,869,3944
2000,185,301,1922,3211
2000,311,351,3295,3742
2000,421,362,4454,3824
2000,158,382,1633,4059
2000,113,226,1153,2356
2000,167,362,1740,3824
2000,301,116,3211,1182
2000,226,382,2356,4059
2000,116,382,1182,4059
2000,142,382,1472,4059
2000,393,43,4176,466
2000,56,264,589,2786
2000,358,353,3798,3759
2000,183,408,1908,4339
2000,262,287,2771,3050
2000,244,325,2545,3435
2000,43,353,466,3759
2000,320,408,3389,4339
2000,264,408,2786,4339
2000,408,325,4339,3435
2000,74,252,766,2660
2000,14,266,141,2813
2000,275,358,2917,3798
2000,351,55,3742,579
2000,158,76,1633,784
2000,267,77,2827,790
2000,223,238,2324,2487
2000,362,244,3824,2545
2000,421,252,4454,2660
2000,113,264,1153,2786
2000,320,266,3389,2813
2000,348,436,3705,4623
2000,244,76,2545,784
2000,408,238,4339,2487
2000,266,264,2813,2786
2000,252,436,2660,4623
2000,264,55,2786,579
2000,436,76,4623,784
2000,55,76,579,784
2000,108,126,1104,1284
2000,257,137,2718,1409
2000,383,126,4064,1284
2000,316,147,3353,1522
2000,154,147,1603,1522
2000,72,137,742,1409
2000,325,54,3435,572
2000,142,388,1472,4130
2000,13,414,132,4382
2000,337,54,3587,572
2000,31,414,317,4382
2000,414,54,4382,572
2000,325,72,3435,742
2000,361,117,3818,1188
2000,436,120,4623,1209
2000,382,126,4059,1284
2000,2,155,12,1611
2000,257,163,2718,1691
2000,125,182,1262,1891
2000,423,197,4471,2052
2000,265,208,2808,2166
2000,238,219,2487,2283
2000,97,228,997,2374
2000,67,311,682,3295
2000,41,351,443,3742
2000,316,358,3353,3798
2000,359,120,3805,1209
2000,197,126,2052,1284
2000,142,128,1472,1307
2000,383,155,4064,1611
2000,182,163,1891,1691
2000,219,242,2283,2523
2000,208,301,2166,3211
2000,311,351,3295,3742
2000,163,242,1691,2523
2000,117,301,1188,3211
2000,120,351,1209,3742
2000,155,242,1611,2523
2000,301,242,3211,2523
2000,126,351,1284,3742
2000,242,351,2523,3742
2000,126,2,1284,12
2000,238,12,2487,126
2000,76,41,784,443
2000,128,72,1307,742
2000,311,117,3295,1188
2000,226,163,2356,1691
2000,257,177,2718,1843
2000,197,219,2052,2283
2000,155,228,1611,2374
2000,208,265,2166,2808
2000,423,279,4471,2967
2000,97,316,997,3353
2000,426,325,4510,3435
2000,182,356,1891,3778
2000,142,382,1472,4059
2000,51,421,553,4454
2000,287,41,3050,443
2000,242,117,2523,1188
2000,325,177,3435,1843
2000,361,265,3818,2808
2000,12,279,126,2967
2000,163,356,1691,3778
2000,301,382,3211,4059
2000,2,421,12,4454
2000,279,117,2967,1188
2000,219,228,2283,2374
2000,41,265,443,2808
2000,351,356,3742,3778
2000,316,421,3353,4454
2000,382,72,4059,742
2000,421,117,4454,1188
2000,356,177,3778,1843
2000,265,228,2808,2374
2000,72,117,742,1188
2000,228,177,2374,1843
2000,177,117,1843,1188
2000,191,77,1999,790
2000,197,113,2052,1153
2000,97,126,997,1284
2000,279,163,2967,1691
2000,436,242,4623,2523
2000,42,264,452,2786
2000,257,265,2718,2808
2000,72,266,742,2813
2000,41,267,443,2827
2000,12,287,126,3050
2000,381,426,4048,4510
2000,223,77,2324,790
2000,301,93,3211,963
2000,266,113,2813,1153
2000,267,126,2827,1284
2000,264,177,2786,1843
2000,219,182,2283,1891
2000,265,287,2808,3050
2000,242,351,2523,3742
2000,287,117,3050,1188
2000,256,126,2704,1284
2000,238,163,2487,1691
2000,113,177,1153,1843
2000,77,182,790,1891
2000,93,228,963,2374
2000,117,182,1188,1891
2000,126,228,1284,2374
2000,163,351,1691,3742
2000,182,228,1891,2374
2000,177,351,1843,3742
2000,351,228,3742,2374
2000,24,74,246,766
2000,48,154,516,1603
2000,51,337,553,3587
2000,307,349,3266,3727
2000,360,355,3813,3770
2000,53,414,564,4382
2000,185,14,1922,141
2000,209,76,2177,784
2000,414,154,4382,1603
2000,43,155,466,1611
2000,74,208,766,2166
2000,356,339,3778,3614
2000,316,349,3353,3727
2000,154,2,1603,12
2000,155,14,1611,141
2000,383,76,4064,784
2000,337,137,3587,1409
2000,349,323,3727,3417
2000,226,339,2356,3614
2000,339,2,3614,12
2000,14,76,141,784
2000,137,208,1409,2166
2000,323,2,3417,12
2000,208,76,2166,784
2000,2,76,12,784
2000,323,24,3417,246
2000,279,41,2967,443
2000,264,197,2786,2052
2000,67,219,682,2283
2000,423,226,4471,2356
2000,320,287,3389,3050
2000,147,311,1522,3295
2000,185,319,1922,3383
2000,24,72,246,742
2000,154,117,1603,1188
2000,319,128,3383,1307
2000,197,137,2052,1409
2000,343,266,3664,2813
2000,76,287,784,3050
2000,226,72,2356,742
2000,266,117,2813,1188
2000,137,287,1409,3050
2000,311,356,3295,3778
2000,356,117,3778,1188
2000,72,117,742,1188
2000,174,12,1819,126
2000,228,14,2374,141
2000,408,41,4339,443
2000,355,55,3770,579
2000,142,72,1472,742
2000,383,76,4064,784
2000,339,77,3614,790
2000,325,117,3435,1188
2000,431,125,4563,1262
2000,129,137,1320,1409
2000,337,147,3587,1522
2000,257,158,2718,1633
2000,209,163,2177,1691
2000,90,167,935,1740
2000,421,177,4454,1843
2000,423,182,4471,1891
2000,191,185,1999,1922
2000,244,197,2545,2052
2000,67,219,682,2283
2000,51,238,553,2487
2000,323,256,3417,2704
2000,381,265,4048,2808
2000,226,279,2356,2967
2000,264,301,2786,3211
2000,320,316,3389,3353
2000,414,319,4382,3383
2000,223,349,2324,3727
2000,360,359,3813,3805
2000,53,361,564,3818
2000,262,382,2771,4059
2000,126,12,1284,126
2000,2,72,12,742
2000,343,76,3664,784
2000,316,137,3353,1409
2000,238,155,2487,1611
2000,219,163,2283,1691
2000,158,177,1633,1843
2000,48,182,516,1891
2000,43,197,466,2052
2000,41,208,443,2166
2000,382,239,4059,2498
2000,77,279,790,2967
2000,97,311,997,3295
2000,167,362,1740,3824
2000,12,72,126,742
2000,125,128,1262,1307
2000,301,182,3211,1891
2000,137,197,1409,2052
2000,361,208,3818,2166
2000,362,239,3824,2498
2000,76,287,784,3050
2000,155,311,1611,3295
2000,163,351,1691,3742
2000,311,72,3295,742
2000,117,182,1188,1891
2000,14,197,141,2052
2000,287,265,3050,2808
2000,128,351,1307,3742
2000,72,182,742,1891
2000,197,265,2052,2808
2000,208,351,2166,3742
2000,265,351,2808,3742
2000,262,264,2771,2786
2000,350,325,3735,3435
2000,353,337,3759,3587
2000,337,264,3587,2786
2000,264,174,2786,1819
2000,54,174,572,1819
2000,113,48,1153,516
2000,349,90,3727,935
2000,244,155,2545,1611
2000,31,223,317,2324
2000,358,346,3798,3682
2000,383,355,4064,3770
2000,154,388,1603,4130
2000,412,435,4367,4604
2000,108,24,1104,246
2000,242,147,2523,1522
2000,435,155,4604,1611
2000,223,351,2324,3742
2000,346,388,3682,4130
2000,388,24,4130,246
2000,155,48,1611,516
2000,90,351,935,3742
2000,147,355,1522,3770
2000,24,351,246,3742
2000,48,355,516,3770
2000,355,351,3770,3742
2000,262,338,2771,3600
2000,116,353,1182,3759
2000,174,264,1819,2786
2000,43,337,466,3587
2000,54,338,572,3600
2000,325,353,3435,3759
2000,353,338,3759,3600
2000,337,338,3587,3600
2000,242,177,2523,1843
2000,24,208,246,2166
2000,381,228,4048,2374
2000,239,238,2498,2487
2000,185,358,1922,3798
2000,266,361,2813,3818
2000,12,436,126,4623
2000,436,177,4623,1843
2000,358,228,3798,2374
2000,209,238,2177,2487
2000,238,208,2487,2166
2000,177,208,1843,2166
2000,316,208,3353,2166
2000,388,24,4130,246
2000,154,226,1603,2356
2000,352,242,3752,2523
2000,435,323,4604,3417
2000,54,349,572,3727
2000,383,361,4064,3818
2000,209,391,2177,4158
2000,24,12,246,126
2000,391,41,4158,443
2000,266,228,2813,2374
2000,338,238,3600,2487
2000,239,242,2498,2523
2000,14,316,141,3353
2000,226,185,2356,1922
2000,41,238,443,2487
2000,257,361,2718,3818
2000,228,185,2374,1922
2000,316,361,3353,3818
2000,185,238,1922,2487
2000,12,361,126,3818
2000,238,361,2487,3818
2000,137,72,1409,742
2000,351,120,3742,1209
2000,76,167,784,1740
2000,343,177,3664,1843
2000,359,219,3805,2283
2000,97,279,997,2967
2000,197,311,2052,3295
2000,163,421,1691,4454
2000,301,423,3211,4471
2000,279,125,2967,1262
2000,72,167,742,1740
